sweep,energy,max_bond_dim
0.000000000000000000e+00,6.342624346845283645e-01,3.200000000000000000e+01
1.000000000000000000e+00,-8.995406278606392192e+00,3.200000000000000000e+01
2.000000000000000000e+00,-8.999990339945837192e+00,3.200000000000000000e+01
3.000000000000000000e+00,-8.999362499926956360e+00,3.200000000000000000e+01
4.000000000000000000e+00,-8.999996678947722373e+00,3.200000000000000000e+01
5.000000000000000000e+00,-8.998817245313347257e+00,3.200000000000000000e+01
6.000000000000000000e+00,-8.999999946779087878e+00,3.200000000000000000e+01
7.000000000000000000e+00,-8.999957306428806092e+00,3.200000000000000000e+01
8.000000000000000000e+00,-8.999999999999996447e+00,3.200000000000000000e+01
9.000000000000000000e+00,-9.000000000000000000e+00,3.200000000000000000e+01
